time	I(Vdd)
3.691458808701256e-07	8.184692e-11
3.787440951558401e-07	7.523202e-11
3.883423094415546e-07	6.847019e-11
3.979405237272691e-07	6.156142e-11
3.987217737272691e-07	-4.339791e-10
3.992187500000000e-07	5.352893e-09
3.993187500000000e-07	3.412542e-09
3.995187500000000e-07	4.357390e-09
3.997624999999999e-07	1.977696e-09
3.998624999999999e-07	-7.319405e-09
3.999000000000000e-07	4.523758e-09
3.999249999999999e-07	1.995184e-09
3.999500000000003e-07	-6.447550e-09
4.000000000000000e-07	1.595694e-08
4.000050000000000e-07	1.107955e-04
4.000150000000000e-07	1.761042e-04
4.000349999999998e-07	1.557738e-04
4.000539342371849e-07	9.809440e-05
4.000739086325801e-07	5.442177e-05
4.001000000000000e-07	3.310260e-05
4.001026091367420e-07	-1.543168e-04
4.001078274102260e-07	-2.196673e-04
4.001182639571940e-07	-2.102136e-04
4.001321268623438e-07	-2.937611e-04
4.001477474746770e-07	-4.208913e-04
4.001640315831295e-07	-5.120102e-04
4.001778199079317e-07	-5.361576e-04
4.002000000000000e-07	-5.728438e-04
4.002022180092069e-07	-4.024612e-04
4.002066540276206e-07	-2.899462e-04
4.002155260644479e-07	-2.524470e-04
4.002332701381026e-07	-2.365978e-04
4.002555937342482e-07	-2.326402e-04
4.002963115129736e-07	-1.973349e-04
4.003407568122219e-07	-1.304268e-04
4.004018984633395e-07	-5.706314e-05
4.004541030263880e-07	-2.829936e-05
4.005150960684352e-07	-1.810963e-05
4.005825994540466e-07	-1.415986e-05
4.006565156254794e-07	-9.995738e-06
4.007032655680285e-07	-7.126398e-06
4.007434843506565e-07	-5.096399e-06
4.007959357696123e-07	-3.287271e-06
4.008511823644403e-07	-1.973440e-06
4.009217517449694e-07	-1.046958e-06
4.009986154822403e-07	-5.005850e-07
4.011020234585697e-07	-2.147670e-07
4.012268501661967e-07	-7.513260e-08
4.014136894872514e-07	-3.784789e-08
4.016793036865995e-07	-1.780637e-08
4.021939429169135e-07	-1.577271e-08
4.029751929169135e-07	-9.617608e-09
4.037564429169136e-07	-7.130922e-09
4.053189429169136e-07	-4.689355e-09
4.076626929169137e-07	-3.103040e-09
4.098948357740565e-07	-2.532017e-09
4.121269786311995e-07	-2.052646e-09
4.143591214883424e-07	-1.664924e-09
4.165912643454853e-07	-1.368853e-09
4.188234072026282e-07	-1.164433e-09
4.210555500597711e-07	-1.051663e-09
4.232876929169140e-07	-1.030543e-09
4.299841214883428e-07	-8.606491e-10
4.366805500597715e-07	-7.160609e-10
4.433769786312003e-07	-5.967781e-10
4.500734072026290e-07	-5.028007e-10
4.567698357740577e-07	-4.341287e-10
4.634662643454864e-07	-3.907622e-10
4.701626929169152e-07	-3.727010e-10
4.982876929169158e-07	-2.683151e-10
4.990689429169158e-07	1.760142e-09
4.992187500000001e-07	9.991415e-10
4.998183641661686e-07	1.701363e-09
4.999000000000001e-07	3.064347e-10
5.000000000000001e-07	3.800661e-07
5.000048249044657e-07	8.282905e-05
5.000144747133968e-07	1.420989e-04
5.000337743312592e-07	1.525895e-04
5.000532317826363e-07	1.435141e-04
5.000698329156172e-07	1.335241e-04
5.001000000000001e-07	1.081638e-04
5.001030167084384e-07	4.535710e-05
5.001090501253149e-07	8.029720e-06
5.001211169590680e-07	2.455568e-06
5.001452506265743e-07	1.116236e-06
5.001732505703433e-07	6.277894e-07
5.002292504578813e-07	3.782031e-07
5.003412502329573e-07	2.016204e-07
5.005652497831092e-07	1.058417e-07
5.010132488834131e-07	5.245335e-08
5.017944988834131e-07	2.612779e-08
5.025757488834131e-07	1.662692e-08
5.041382488834131e-07	9.875875e-09
5.062587845976989e-07	7.384079e-09
5.083793203119847e-07	5.345049e-09
5.104998560262704e-07	3.758784e-09
5.126203917405562e-07	2.625284e-09
5.147409274548419e-07	1.944549e-09
5.168614631691278e-07	1.716580e-09
5.189819988834135e-07	1.941376e-09
5.986694988834154e-07	2.449885e-10
5.988256419000704e-07	3.980760e-10
5.989817849167253e-07	5.072843e-10
5.991379279333803e-07	5.726135e-10
5.992940709500351e-07	5.940635e-10
5.994502139666901e-07	5.716344e-10
5.996063569833450e-07	5.053261e-10
5.997625000000000e-07	3.951386e-10
5.998625000000000e-07	-1.626871e-10
5.999000000000001e-07	4.669244e-10
5.999500000000004e-07	-1.970912e-11
6.000000000000001e-07	1.213835e-08
6.000050000000000e-07	7.944939e-05
6.000150000000000e-07	1.308541e-04
6.000311972230015e-07	1.329451e-04
6.000481817674355e-07	1.097973e-04
6.000635672691845e-07	7.395074e-05
6.000808382692718e-07	3.028771e-05
6.001000000000001e-07	-3.051212e-05
6.001019161730729e-07	-1.100488e-04
6.001057485192186e-07	-1.615234e-04
6.001134132115099e-07	-2.011438e-04
